reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Ph Body Fluid Decreased,Ph Body Fluid Decreased,laboratory,Laboratory and investigation,rule
Picornavirus Infection,Picornavirus Infection,infection,Infections,rule
Lupus Myocarditis,Lupus Myocarditis,cardiovascular,Cardiovascular,rule
Blood 25-Hydroxycholecalciferol Increased,Blood 25-Hydroxycholecalciferol Increased,laboratory,Laboratory and investigation,rule
Blepharitis Allergic,Blepharitis Allergic,immune_inflammatory,Immune and inflammatory,rule
Nictitating Spasm,Nictitating Spasm,other,Other / manual review,fallback
Angiopathic Neuropathy,Angiopathic Neuropathy,neurological,Nervous system and neurological,rule
Mucosal Excoriation,Mucosal Excoriation,other,Other / manual review,fallback
Congenital Adrenal Gland Hypoplasia,Congenital Adrenal Gland Hypoplasia,renal_urinary,Renal and urinary,rule
Influenza C Virus Test Positive,Influenza C Virus Test Positive,infection,Infections,rule
Spermatozoa Progressive Motility Decreased,Spermatozoa Progressive Motility Decreased,laboratory,Laboratory and investigation,rule
Tooth Malformation,Tooth Malformation,other,Other / manual review,fallback
